EMD_CD,EMD_ENG_NM,EMD_KOR_NM
11410105,Naengcheon-dong,냉천동
11410106,Cheonyeon-dong,천연동
11410107,Okcheon-dong,옥천동
11410108,Yeongcheon-dong,영천동
11410109,Hyeonjeo-dong,현저동
11410110,Bugahyeon-dong,북아현동
11410111,Hongje-dong,홍제동
11410112,Daehyeon-dong,대현동
11410113,Daesin-dong,대신동
11410114,Sinchon-dong,신촌동
11410115,Bongwon-dong,봉원동
11410116,Changcheon-dong,창천동
11410117,Yeonhui-dong,연희동
11410118,Hongeun-dong,홍은동
11410119,Bukgajwa-dong,북가좌동
11410120,Namgajwa-dong,남가좌동
11440101,Ahyeon-dong,아현동
11440102,Gongdeok-dong,공덕동
11440103,Singongdeok-dong,신공덕동
11440104,Dohwa-dong,도화동
11440105,Yonggang-dong,용강동
11440106,Tojeong-dong,토정동
11440107,Mapo-dong,마포동
11440108,Daeheung-dong,대흥동
11440109,Yeomni-dong,염리동
11440110,Nogosan-dong,노고산동
11440111,Sinsu-dong,신수동
11440112,Hyeonseok-dong,현석동
11440113,Gusu-dong,구수동
11440114,Changjeon-dong,창전동
11440115,Sangsu-dong,상수동
11440116,Hajung-dong,하중동
11440117,Sinjeong-dong,신정동
11440118,Dangin-dong,당인동
11440120,Seogyo-dong,서교동
11440121,Donggyo-dong,동교동
11440122,Hapjeong-dong,합정동
11440123,Mangwon-dong,망원동
11440124,Yeonnam-dong,연남동
11440125,Seongsan-dong,성산동
11440126,Jung-dong,중동
11440127,Sangam-dong,상암동
11470101,Sinjeong-dong,신정동
11470102,Mok-dong,목동
11470103,Sinwol-dong,신월동
11500101,Yeomchang-dong,염창동
11500102,Deungchon-dong,등촌동
11500103,Hwagok-dong,화곡동
11500104,Gayang-dong,가양동
11500105,Magok-dong,마곡동
11500106,Naebalsan-dong,내발산동
11500107,Oebalsan-dong,외발산동
11500108,Gonghang-dong,공항동
11500109,Banghwa-dong,방화동
11500110,Gaehwa-dong,개화동
11500111,Gwahae-dong,과해동
11500112,Ogok-dong,오곡동
11500113,Osoe-dong,오쇠동
11530101,Sindorim-dong,신도림동
11530102,Guro-dong,구로동
11530103,Garibong-dong,가리봉동
11530106,Gocheok-dong,고척동
11530107,Gaebong-dong,개봉동
11530108,Oryu-dong,오류동
11530109,Gung-dong,궁동
11530110,Onsu-dong,온수동
11530111,Cheonwang-dong,천왕동
11530112,Hang-dong,항동
11545101,Gasan-dong,가산동
11545102,Doksan-dong,독산동
11545103,Siheung-dong,시흥동
11560101,Yeongdeungpo-dong,영등포동
11560102,Yeongdeungpo-dong 1(il)-ga,영등포동1가
11560103,Yeongdeungpo-dong 2(i)-ga,영등포동2가
11560104,Yeongdeungpo-dong 3(sam)-ga,영등포동3가
11560105,Yeongdeungpo-dong 4(sa)-ga,영등포동4가
11560106,Yeongdeungpo-dong 5(o)-ga,영등포동5가
11560107,Yeongdeungpo-dong 6(yuk)-ga,영등포동6가
11560108,Yeongdeungpo-dong 7(chil)-ga,영등포동7가
11560109,Yeongdeungpo-dong 8(pal)-ga,영등포동8가
11560110,Yeouido-dong,여의도동
11560111,Dangsan-dong 1(il)-ga,당산동1가
11560112,Dangsan-dong 2(i)-ga,당산동2가
11560113,Dangsan-dong 3(sam)-ga,당산동3가
11560114,Dangsan-dong 4(sa)-ga,당산동4가
11560115,Dangsan-dong 5(o)-ga,당산동5가
11560116,Dangsan-dong 6(yuk)-ga,당산동6가
11560117,Dangsan-dong,당산동
11560118,Dorim-dong,도림동
11560119,Mullae-dong 1(il)-ga,문래동1가
11560120,Mullae-dong 2(i)-ga,문래동2가
11560121,Mullae-dong 3(sam)-ga,문래동3가
11560122,Mullae-dong 4(sa)-ga,문래동4가
11560123,Mullae-dong 5(o)-ga,문래동5가
11560124,Mullae-dong 6(yuk)-ga,문래동6가
11560125,Yangpyeong-dong 1(il)-ga,양평동1가
11560126,Yangpyeong-dong 2(i)-ga,양평동2가
11560127,Yangpyeong-dong 3(sam)-ga,양평동3가
11560128,Yangpyeong-dong 4(sa)-ga,양평동4가
11560129,Yangpyeong-dong 5(o)-ga,양평동5가
11560130,Yangpyeong-dong 6(yuk)-ga,양평동6가
11560131,Yanghwa-dong,양화동
11560132,Singil-dong,신길동
11560133,Daerim-dong,대림동
11560134,Yangpyeong-dong,양평동
11590101,Noryangjin-dong,노량진동
11590102,Sangdo-dong,상도동
11590103,Sangdo 1(il)-dong,상도1동
11590104,Bon-dong,본동
11590105,Heukseok-dong,흑석동
11590106,Dongjak-dong,동작동
11590107,Sadang-dong,사당동
11590108,Daebang-dong,대방동
11590109,Sindaebang-dong,신대방동
11620101,Bongcheon-dong,봉천동
11620102,Sillim-dong,신림동
11620103,Namhyeon-dong,남현동
11650101,Bangbae-dong,방배동
11650102,Yangjae-dong,양재동
11650103,Umyeon-dong,우면동
11650104,Wonji-dong,원지동
11650106,Jamwon-dong,잠원동
11650107,Banpo-dong,반포동
11650108,Seocho-dong,서초동
11650109,Naegok-dong,내곡동
11650110,Yeomgok-dong,염곡동
11650111,Sinwon-dong,신원동
11680101,Yeoksam-dong,역삼동
11680103,Gaepo-dong,개포동
11680104,Cheongdam-dong,청담동
11680105,Samseong-dong,삼성동
11680106,Daechi-dong,대치동
11680107,Sinsa-dong,신사동
11680108,Nonhyeon-dong,논현동
11680110,Apgujeong-dong,압구정동
11680111,Segok-dong,세곡동
11680112,Jagok-dong,자곡동
11680113,Yulhyeon-dong,율현동
11680114,Irwon-dong,일원동
11680115,Suseo-dong,수서동
11680118,Dogok-dong,도곡동
11710101,Jamsil-dong,잠실동
11710102,Sincheon-dong,신천동
11710103,Pungnap-dong,풍납동
